OBJECTID,DPTOMPIO,CODIGO_VER,NOM_DEP,NOMB_MPIO,NOMBRE_VER,VIGENCIA,FUENTE,DESCRIPCIO,SEUDONIMOS,AREA_HA,COD_DPTO,ShapeSTArea,ShapeSTLength
1400,52254,52254004,NARIÑO,EL PEÑOL,CAJABAMBA,2001,EOT,NULL,NULL,190.98328705,52,1917320.86547852,8422.37101168097
1401,52585,52585007,NARIÑO,PUPIALES,VEREDA CUAS,2012,ALCALDIA MUNICIPAL,NULL,NULL,385.50981521,52,3867039.45159912,11310.5007604403
1402,52585,52585029,NARIÑO,PUPIALES,VEREDA TRES ESQUINAS,2012,ALCALDIA MUNICIPAL,NULL,NULL,49.00403146,52,491558.564331055,3265.95434370193
1403,52585,52585024,NARIÑO,PUPIALES,VEREDA SAN JUAN CHIQUITO,2012,ALCALDIA MUNICIPAL,NULL,NULL,89.32395778,52,895967.038085938,4617.99014870075
1404,52585,52585012,NARIÑO,PUPIALES,VEREDA ESPINO SUR,2012,ALCALDIA MUNICIPAL,NULL,NULL,358.81182084,52,3598976.03387451,11790.911905758
1405,52585,52585021,NARIÑO,PUPIALES,VEREDA PUSIALQUER,2012,ALCALDIA MUNICIPAL,NULL,NULL,1017.75126552,52,10207934.883667,17242.5155274839
1406,52317,52317022,NARIÑO,GUACHUCAL,LA VICTORIA,2010,POT, VEREDA CON CENTRO POBLADO,NULL,152.00615976,52,1524512.1897583,7192.61262569823
1407,52788,52788008,NARIÑO,TANGUA,EL TAMBOR,1999,CATASTRO IGAC,NULL,NULL,211.93190198,52,2127332.59344482,6954.49258841729
1408,52788,52788006,NARIÑO,TANGUA,EL PARAMO,1999,CATASTRO IGAC,NULL,NULL,621.71775852,52,6240842.45477295,11398.5755976999
1409,52788,52788013,NARIÑO,TANGUA,LA PALIZADA,1999,CATASTRO IGAC,NULL,NULL,1985.28843373,52,19929674.3790283,23679.7613767126
1410,52788,52788005,NARIÑO,TANGUA,EL CEBADAL,1999,CATASTRO IGAC,NULL,NULL,281.93061507,52,2829854.94177246,8527.98917142119
